cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_mos,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_mos,webc_std_respEnd,webc_web_cnt
webclient,6000,180,20180330_234428_f9f3,6000,vagrant,300,3074,3174,2970.205061,2519.53465347,2644.31683168,3.95638567782,2383.1972214,2525.0,2652.0,2390.331676,2148,2262,2009.445011,87.226184228,86.988554009,0.0329284282511,89.4776882653,101
webclient,3750,0,20180330_102536_0c75,3750,vagrant,300,2718,2804,3469.136989,2626.33,2729.36,3.81343992332,2802.40204421,2626.5,2728.0,2794.1362205,2592,2688,2736.472315,17.4367743577,22.6373673381,0.0207476109142,72.3260611483,100
webclient,8000,80,20180331_102820_62bc,8000,vagrant,300,1740,1888,1517.403861,1587.71710526,1716.82894737,4.40331404901,1433.2707023,1582.0,1712.5,1434.53714,1532,1637,1393.476512,32.0473370606,33.0620979362,0.0117031295769,19.1293224233,152
webclient,5500,60,20180330_205913_1c27,5500,vagrant,300,2310,2428,2190.615623,1994.50393701,2115.28346457,4.18432171431,1838.55932072,1988.0,2112.0,1832.527831,1942,2046,1805.530421,40.5147730451,42.2051416127,0.0194720189485,43.7676841404,127
webclient,5500,20,20180330_203834_f905,5500,vagrant,300,2504,2618,2351.471201,1935.86086957,2041.96521739,4.10702281148,2013.84894163,1926.0,2033.0,2090.250841,1866,1996,1731.350328,60.7771248381,62.6822116691,0.0743810197825,163.859929538,115
webclient,1500,160,20180329_204413_2f7f,1500,vagrant,600,6532,6639,6396.583765,6244.67777778,6359.97777778,3.12927203125,6096.16688436,6235.5,6350.0,6090.542868,6210,6308,6067.595831,38.5898166699,41.4050393545,0.00474983038821,33.6137989582,90
webclient,6500,20,20180331_010706_92d5,6500,vagrant,300,1791,1935,1994.698136,1700.71428571,1808.75,4.21608968218,1780.52710939,1697.5,1805.0,1864.5853535,1646,1766,1504.153506,21.3485649281,27.1356710412,0.0826895761478,159.8593029,140
webclient,7500,0,20180331_052522_d53f,7500,vagrant,300,1561,1684,1753.941639,1500.76821192,1605.66225166,4.26716717712,1673.13850629,1499.0,1603.0,1671.085672,1447,1568,1617.221382,18.6903820252,22.2058065962,0.0135314901853,25.8048555613,151
webclient,6750,160,20180331_030043_1d33,6750,vagrant,300,2257,2416,2103.645066,2160.1512605,2277.6302521,4.10237020368,2017.67307676,2154.0,2275.0,2010.942299,2098,2218,1973.778014,29.5266974068,35.4673161288,0.0119668819539,27.6174568163,119
webclient,3500,120,20180330_100457_be76,3500,vagrant,300,3081,3212,2913.719347,3019.64772727,3135.14772727,3.79127654904,2873.12692568,3022.0,3129.5,2877.7260245,2932,3055,2790.72247,27.6343987601,36.3994692059,0.00720557668238,23.3967146747,88
webclient,5000,40,20180330_162701_b1d0,5000,vagrant,300,2173,2311,2368.038091,2123.72131148,2236.27868852,4.11328812639,1996.71459563,2124.5,2237.0,1942.1778355,2068,2199,1917.410887,18.2829591424,17.9568071458,0.0553143807436,133.392344883,122
webclient,8500,200,20180331_121139_d172,8500,vagrant,300,2735,3217,2597.430945,2661.61616162,2781.83838384,3.89821415916,2544.33765891,2658.0,2777.0,2545.83036,2613,2721,2508.518713,25.3140704559,52.9233688565,0.00594148200802,17.2073137919,99
webclient,6500,0,20180331_005647_2f3a,6500,vagrant,300,1725,1865,1944.423173,1676.16438356,1781.10273973,4.1812624408,1844.70324802,1674.0,1778.0,1842.4505825,1622,1744,1791.335416,17.7906499212,22.4324646873,0.0134175192389,28.2785678676,146
webclient,4750,100,20180330_153522_e8f9,4750,vagrant,300,2440,2569,2222.287876,2310.87155963,2428.34862385,4.04013201967,2165.42962044,2305.0,2422.0,2162.437157,2271,2372,2123.236145,25.7739292635,36.0668024813,0.00801073691384,19.7818382587,109
webclient,8250,140,20180331_115059_20e7,8250,vagrant,300,1983,2094,1785.955336,1880.97744361,1994.21052632,4.24171084598,1722.32430456,1883.0,1994.0,1721.243724,1712,1820,1566.490367,33.276573115,39.6757634455,0.0160598078742,30.8196701116,133
webclient,3500,80,20180330_095438_240f,3500,vagrant,300,3100,3205,2925.290763,2876.54347826,2993.23913043,3.83548868032,2732.35730763,2872.5,2987.0,2729.183942,2842,2943,2704.66653,29.6700746044,33.2681364611,0.00763445320645,24.2654424459,92
webclient,6500,160,20180331_015335_2719,6500,vagrant,300,2256,2856,2100.580233,2179.21186441,2299.77118644,4.09443831467,2035.85975623,2171.0,2289.5,2028.2678905,2140,2242,2005.938932,27.0106230498,61.5617935413,0.00901740008276,20.9582859503,118
webclient,4000,240,20180330_115322_0972,4000,vagrant,300,3663,4224,3550.42478,3542.55263158,3667.07894737,3.62563504575,3468.48845763,3548.0,3670.0,3480.8377475,3302,3405,3216.464976,63.5668721105,92.6147599863,0.0138214583356,53.8341312741,76
webclient,5250,140,20180330_201244_8151,5250,vagrant,300,2433,2552,2270.566199,2331.63963964,2456.74774775,4.03197213829,2185.57480065,2329.0,2456.0,2183.133375,2297,2400,2158.361887,23.892700379,31.3246494968,0.00669250903149,16.7074723202,111
