cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,mean_ql_max,mean_ql_mean,mean_ql_median,mean_ql_min,mean_ql_std,ql_switches_max,ql_switches_mean,ql_switches_median,ql_switches_min,ql_switches_std,segment_count,stalling_count_max,stalling_count_mean,stalling_count_median,stalling_count_min,stalling_count_std,stalling_time_max,stalling_time_mean,stalling_time_median,stalling_time_min,stalling_time_std,video_duration,watch_count
dashclient,4750,230,20180613_065029_c59a,4750,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,5.764700174331665,5.764700174331665,5.764700174331665,5.764700174331665,0.0,64.1399998664856,1
dashclient,1500,150,20180612_160049_3512,1500,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,7.68073582649231,7.68073582649231,7.68073582649231,7.68073582649231,0.0,66.14999985694885,1
dashclient,1250,80,20180612_143310_8f78,1250,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,7.592801570892334,7.592801570892334,7.592801570892334,7.592801570892334,0.0,67.16000008583069,1
dashclient,4250,60,20180613_045105_0c26,4250,vagrant,150,4.116666666666666,4.116666666666666,4.116666666666666,4.116666666666666,0.0,6,6.0,6.0,6,0.0,60,1,1.0,1.0,1,0.0,4.691010475158691,4.691010475158691,4.691010475158691,4.691010475158691,0.0,64.15000009536743,1
dashclient,2250,20,20180612_183448_c1b4,2250,vagrant,150,1.9,1.9,1.9,1.9,0.0,5,5.0,5.0,5,0.0,60,1,1.0,1.0,1,0.0,5.844506025314331,5.844506025314331,5.844506025314331,5.844506025314331,0.0,65.16000008583069,1
dashclient,3500,240,20180613_012127_9dbf,3500,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,6.415983200073242,6.415983200073242,6.415983200073242,6.415983200073242,0.0,65.15000009536743,1
dashclient,750,220,20180613_100709_3f07,750,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,13.92331337928772,13.92331337928772,13.92331337928772,13.92331337928772,0.0,72.16000008583069,1
dashclient,1000,170,20180612_135315_65c0,1000,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,10.596580266952515,10.596580266952515,10.596580266952515,10.596580266952515,0.0,69.15999984741211,1
dashclient,4500,150,20180613_062355_2ecd,4500,vagrant,150,2.783333333333333,2.783333333333333,2.783333333333333,2.783333333333333,0.0,5,5.0,5.0,5,0.0,60,1,1.0,1.0,1,0.0,4.542003870010376,4.542003870010376,4.542003870010376,4.542003870010376,0.0,63.140000104904175,1
dashclient,2500,130,20180612_202102_25c5,2500,vagrant,150,0.95,0.95,0.95,0.95,0.0,2,2.0,2.0,2,0.0,60,1,1.0,1.0,1,0.0,5.373227119445801,5.373227119445801,5.373227119445801,5.373227119445801,0.0,64.14999985694885,1
dashclient,1500,20,20180612_151539_b765,1500,vagrant,150,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,2,2.0,2.0,2,0.0,60,1,1.0,1.0,1,0.0,5.795145273208618,5.769594788551331,5.769594788551331,5.744044303894043,0.025550484657287598,65.15999984741211,2
dashclient,4000,110,20180613_035759_cc77,4000,vagrant,150,3.05,3.05,3.05,3.05,0.0,6,6.0,6.0,6,0.0,60,1,1.0,1.0,1,0.0,4.807535886764526,4.8005876541137695,4.8005876541137695,4.793639421463013,0.006948232650756836,64.14999985694885,2
dashclient,1500,240,20180612_152338_facc,1500,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,9.286377191543579,9.261281132698059,9.261281132698059,9.236185073852539,0.02509605884552002,68.16000008583069,2
