cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,2500,140,20180318_094227_7ad8,2500,vagrant,300,52,2002,5566,5562.737887,1986.03846154,5429.75,5425.92134212,1985.0,5428.0,5424.412546,1976,5392,5389.298641,5.90293779031,28.6597244874,28.6702998018
webclient,2500,0,20180318_085051_7138,2500,vagrant,300,57,1723,4992,4988.960438,1701.43859649,4977.15789474,4973.29268607,1702.0,4976.0,4972.322939,1690,4962,4957.981062,7.35328436908,5.6530987425,5.615619216
webclient,6500,140,20180319_080025_ffa9,6500,vagrant,300,113,1110,3018,2604.217871,1016.05309735,2532.69026549,2525.68121432,1014.0,2552.0,2549.437566,971,2377,2371.931919,21.7275326774,80.7970339907,66.7283659054
webclient,10500,220,20180403_193655_1a61,10500,vagrant,300,107,1487,3564,3560.158581,1254.77570093,2666.05607477,2663.22525584,1245.0,2465.0,2462.100982,1224,2308,2304.791641,44.0382816499,361.081781499,360.961339461
webclient,10500,80,20180403_195733_5656,10500,vagrant,300,145,1192,2065,2062.876716,667.696551724,1523.68275862,1520.58420162,671.0,1517.0,1513.590768,616,1458,1456.579722,47.6980913575,54.7770029078,55.0114835043
webclient,500,40,20180319_001202_f72d,500,vagrant,600,22,8315,24844,24840.62061,8297.18181818,24829.6363636,24825.6935392,8296.0,24829.5,24825.237637,8288,24819,24815.640582,5.83591048935,5.38132675889,5.36136009712
webclient,5000,0,20180318_221359_500e,5000,vagrant,300,109,907,2548,2543.654931,889.486238532,2517.33944954,2514.11927339,889.0,2516.0,2513.371017,875,2508,2504.816105,6.0177332422,6.04147770897,6.09007213921
webclient,4250,100,20180318_193409_7374,4250,vagrant,300,87,1261,3354,3349.560077,1239.27586207,3311.62068966,3308.61432107,1239.0,3317.0,3313.722392,1221,3249,3245.543462,8.20105075294,20.3052800898,20.3276606243
webclient,3500,0,20180318_153143_448d,3500,vagrant,300,80,1259,3590,3587.311664,1240.35,3573.3,3569.99660435,1240.5,3573.0,3569.742332,1225,3563,3560.047117,8.03445704451,6.08563883253,5.70475435775
webclient,12000,80,20180404_023945_d0cb,12000,vagrant,300,136,661,1588,1423.54141,598.985294118,1356.02941176,1350.42921148,599.0,1351.0,1347.290509,540,1316,1313.611071,18.4876689008,26.76750147,18.2332516517
webclient,9750,60,20180404_055542_c4d9,9750,vagrant,300,154,1101,2011,2008.879242,630.38961039,1518.9025974,1516.21290798,627.0,1513.0,1510.3319905,590,1476,1473.753658,39.1718345157,42.286556379,42.3070204269
webclient,8500,160,20180327_205120_3a87,8500,vagrant,300,126,1134,2827,2823.446574,957.722222222,2206.34126984,2203.1899432,956.0,2208.0,2204.3251385,945,2080,2077.499418,17.7082345158,83.9640099297,83.9350607877
webclient,4750,100,20180318_214812_2f76,4750,vagrant,300,96,1161,3029,3026.512405,1138.4375,2978.48958333,2975.50790086,1138.0,2971.0,2967.347301,1123,2936,2934.094792,7.18043130668,23.5579935088,23.4662219532
webclient,9500,180,20180404_051936_eb06,9500,vagrant,300,124,1222,2880,2459.125822,1052.16935484,2217.01612903,2208.67313073,1048.0,2187.5,2184.785567,1037,2146,2143.395925,20.162933804,80.3875676344,53.6678280252
webclient,2250,40,20180318_080933_6e14,2250,vagrant,300,51,1983,5658,5654.118315,1963.76470588,5637.43137255,5633.53334906,1963.0,5637.0,5633.280463,1953,5625,5620.90736,6.20116445515,7.14075544408,6.99886124195
webclient,2750,60,20180318_124128_f7a0,2750,vagrant,300,61,1756,4784,4780.464869,1676.95081967,4704.95081967,4701.07570461,1676.0,4702.0,4698.46248,1662,4694,4689.927682,12.0754814987,12.0115057266,12.0025902725
webclient,4000,240,20180318_180628_8f7d,4000,vagrant,300,71,1781,4769,4764.363528,1597.78873239,4013.92957746,4010.59528813,1596.0,3992.0,3988.865841,1438,3885,3882.214184,56.98329765,114.542977228,114.363524414
