cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webdlc_content_size,webdlc_file_cnt,webdlc_max,webdlc_mean,webdlc_mean_mos,webdlc_median,webdlc_min,webdlc_std,webdlc_std_mos
webdlclient,250,220,20180321_122653_3fd6,250,vagrant,900,10485760,1,353.143875837,353.143875837,1.0,353.143875837,353.143875837,0.0,0.0
webdlclient,1750,140,20180321_010427_db33,1750,vagrant,900,10485760,16,50.5700674057,50.5609391332,3.01905875206,50.5665432215,50.5520033836,0.00716658626397,0.000238129493713
webdlclient,2750,0,20180321_145852_b54b,2750,vagrant,900,10485760,27,31.9308130741,31.9140846023,3.79208033822,31.9144411087,31.9054825306,0.0060901879531,0.000320569680919
webdlclient,3250,220,20180321_221824_9db2,3250,vagrant,900,10485760,31,28.0506680012,27.9325895617,4.01594794955,27.9164018631,27.9020109177,0.0434024185701,0.00260626310303
webdlclient,1250,80,20180320_174448_ddbd,1250,vagrant,900,10485760,11,70.3943150043,70.3904131759,2.46318411964,70.393910408,70.3743042946,0.00756165187115,0.000180489060171
webdlclient,1500,160,20180320_220232_21ea,1500,vagrant,900,10485760,14,58.9160749912,58.9142583609,2.76218033102,58.9154016972,58.8992979527,0.00416356231806,0.000118742013859
webdlclient,3750,240,20180322_050739_147f,3750,vagrant,900,10485760,35,24.9886324406,24.9804671901,4.20360175721,24.9818518162,24.9717242718,0.0043190946138,0.00029047846438
webdlclient,250,120,20180321_135804_bbbb,250,vagrant,900,10485760,1,352.991081476,352.991081476,1.0,352.991081476,352.991081476,0.0,0.0
webdlclient,5000,160,20180322_231858_8c99,5000,vagrant,900,10485760,48,18.4490113258,18.2777818392,4.7284618496,18.2443529367,18.2327859402,0.0766252116228,0.00701717267312
webdlclient,2500,100,20180321_102530_9744,2500,vagrant,900,10485760,24,35.3645405769,35.3621467849,3.61972152989,35.3626356125,35.3527815342,0.00204650372387,9.72371663594e-05
webdlclient,4250,60,20180322_121208_e15b,4250,vagrant,900,10485760,42,20.8075284958,20.8069027606,4.51072154435,20.8069437742,20.8062186241,0.000309680890835,2.5004441234e-05
webdlclient,3250,240,20180321_223334_cc01,3250,vagrant,900,10485760,30,28.2939543724,28.284180975,3.99493152701,28.2862124443,28.2793889046,0.00394330967433,0.000234218458671
webdlclient,4750,180,20180322_201707_521a,4750,vagrant,900,10485760,45,19.3666000366,19.3443930626,4.63316396323,19.3391888142,19.3269147873,0.0125513820703,0.00108982366191
webdlclient,4000,20,20180322_075421_b48e,4000,vagrant,900,10485760,39,21.9969177246,21.9820627371,4.41841901938,21.9796967506,21.9738013744,0.00399182277464,0.00030504754191
webdlclient,3250,100,20180321_233412_6531,3250,vagrant,900,10485760,32,27.2971248627,27.2909123302,4.05498967618,27.2908205986,27.2898793221,0.00116871866713,7.1937974405e-05
webdlclient,500,240,20180323_004959_0d5c,500,vagrant,900,10485760,4,176.351413965,176.34675771,1.0,176.346310139,176.342996597,0.0034406310438,0.0
webdlclient,750,220,20180323_035203_8e8b,750,vagrant,900,10485760,6,117.613149643,117.612951756,1.60076940553,117.612962246,117.612761259,0.000144611367041,2.06564923905e-06
webdlclient,4000,100,20180322_092524_ce4d,4000,vagrant,900,10485760,39,22.2525274754,22.2514735124,4.39795417095,22.251480341,22.2508742809,0.000342812162236,2.58824522187e-05
webdlclient,2500,140,20180321_105549_dddd,2500,vagrant,900,10485760,24,35.5245871544,35.5208798051,3.61219725486,35.5223046541,35.5124042034,0.00371625555698,0.000175780129106
webdlclient,3250,20,20180321_220316_a573,3250,vagrant,900,10485760,32,27.0472815037,27.0448106825,4.07020816788,27.0466210842,27.0388486385,0.0032093052676,0.000199372566275
webdlclient,5000,20,20180322_210235_b056,5000,vagrant,900,10485760,50,17.5948967934,17.594115448,4.79249164855,17.5943367481,17.5892808437,0.00102007699985,9.741506992e-05
webdlclient,1500,60,20180320_204645_97f5,1500,vagrant,900,10485760,14,58.6350069046,58.6330895594,2.77021733881,58.6341370344,58.6186285019,0.00404425204533,0.00011589192551
webdlclient,2250,180,20180321_080905_0381,2250,vagrant,900,10485760,21,39.5797638893,39.5658575467,3.43101617903,39.5651710033,39.564709425,0.00311605002033,0.000132288160285
webdlclient,3750,40,20180322_052249_f923,3750,vagrant,900,10485760,37,23.4933261871,23.4905840577,4.30691256756,23.4905793667,23.4892408848,0.000569785013726,4.07486744488e-05
webdlclient,3750,140,20180322_063834_fb24,3750,vagrant,900,10485760,36,24.0513210297,23.8921880457,4.27843478639,23.8796528578,23.8786845207,0.0307062072575,0.00215372159929
webdlclient,2500,60,20180321_095512_b781,2500,vagrant,900,10485760,24,35.2381494045,35.2370859484,3.62567350408,35.2374447584,35.228441,0.00182736783941,8.71334005911e-05
webdlclient,2000,140,20180321_042136_f52e,2000,vagrant,900,10485760,19,44.2705562115,44.2589206068,3.24270433268,44.2582762241,44.2579777241,0.0027531327518,0.000104491794995
webdlclient,500,180,20180323_025123_937f,500,vagrant,900,10485760,4,176.228026628,176.226590693,1.0,176.226269007,176.22579813,0.000865816969476,0.0
webdlclient,2000,220,20180321_023529_1a4c,2000,vagrant,900,10485760,19,44.7610290051,44.7127447254,3.22556741335,44.7416782379,44.6008961201,0.0658581360572,0.00247635371045
webdlclient,4500,40,20180322_151401_ea7f,4500,vagrant,900,10485760,44,19.5994672775,19.5976860469,4.61130867978,19.5977019072,19.5957148075,0.000482946426697,4.14004718487e-05
webdlclient,2500,0,20180321_082415_b733,2500,vagrant,900,10485760,24,35.1105616093,35.102478832,3.63210346332,35.1016560793,35.1010899544,0.00219039633879,0.00010482346247
webdlclient,4000,220,20180322_080937_d6e0,4000,vagrant,900,10485760,37,23.3500378132,23.3427512001,4.31751871869,23.3430895805,23.3359689713,0.00440902116648,0.000317324352324
webdlclient,4000,200,20180322_073911_eb00,4000,vagrant,900,10485760,37,23.2667460442,23.2331085592,4.32542853368,23.229501009,23.2177064419,0.0104265087878,0.000753666354985
webdlclient,3250,180,20180322_003449_0e90,3250,vagrant,900,10485760,31,27.6605360508,27.6534879592,4.03281686752,27.6530528069,27.6525850296,0.00185430130511,0.000112639284171
webdlclient,4500,140,20180322_162946_845b,4500,vagrant,900,10485760,43,20.3968615532,20.35017349,4.54801062171,20.3408458233,20.3281719685,0.0207871930853,0.00171558910799
webdlclient,3750,60,20180322_053757_5e3d,3750,vagrant,900,10485760,37,23.5508420467,23.5503485203,4.30264375936,23.5503568649,23.549726963,0.00030548157506,2.17920456326e-05
webdlclient,3000,80,20180321_200200_3bc5,3000,vagrant,900,10485760,29,29.458255291,29.4512629345,3.92700219623,29.4502074718,29.4471006393,0.00301503373584,0.000171974355843
webdlclient,2500,160,20180321_111058_cce3,2500,vagrant,900,10485760,24,35.6062848568,35.6007778347,3.60842263198,35.6021912098,35.5920445919,0.00388014841102,0.000183119755324
webdlclient,3750,80,20180322_055306_3b54,3750,vagrant,900,10485760,37,23.6275465488,23.6270389944,4.29718181595,23.6270868778,23.6265292168,0.00028775809168,2.04610341201e-05
webdlclient,3500,240,20180322_015036_34c1,3500,vagrant,900,10485760,32,26.508597374,26.5007377416,4.10435009807,26.501962781,26.494289875,0.00397274323181,0.000251857077691
webdlclient,5000,100,20180322_223330_f8cc,5000,vagrant,900,10485760,49,17.90402174,17.8990442899,4.76362451425,17.8987772465,17.8933813572,0.00209466266262,0.000196602225151
webdlclient,1000,220,20180320_132701_23e5,1000,vagrant,900,10485760,9,88.3516869545,88.3502352503,2.08140111293,88.3508460522,88.3479375839,0.00136791579949,2.601135448e-05
webdlclient,2000,180,20180321_045155_bbd2,2000,vagrant,900,10485760,19,44.4309031963,44.419499849,3.2366200243,44.418869257,44.4183533192,0.00270134310905,0.000102155874982
webdlclient,3000,60,20180321_194651_a08b,3000,vagrant,900,10485760,29,29.3901805878,29.3893072112,3.93054007484,29.3892705441,29.3887617588,0.000316977975547,1.81195480852e-05
webdlclient,5000,200,20180322_204725_8258,5000,vagrant,900,10485760,47,19.0434203148,18.5221695494,4.70617164944,18.4869246483,18.4789106846,0.126422514522,0.0113292893871
webdlclient,3000,160,20180321_210237_da16,3000,vagrant,900,10485760,29,29.7802524567,29.771230377,3.90884860214,29.7701227665,29.7694449425,0.00293850931213,0.000165803009774
webdlclient,1250,180,20180320_190037_c01c,1250,vagrant,900,10485760,11,70.6793892384,70.6779632568,2.45633516473,70.6779506207,70.6764962673,0.00109183407594,2.5952667436e-05
webdlclient,3250,160,20180322_001939_9df1,3250,vagrant,900,10485760,31,27.5492856503,27.5429896078,4.03954329017,27.5427629948,27.5421600342,0.0012046890045,7.34733403436e-05
webdlclient,4750,220,20180322_180042_7dcf,4750,vagrant,900,10485760,43,20.1545362473,20.0400529739,4.57381076515,20.0500378609,20.0056364536,0.0314750974575,0.00263670793166
webdlclient,2750,80,20180321_164457_f86f,2750,vagrant,900,10485760,27,32.1039083004,32.1029811524,3.78216585384,32.1030247211,32.1018569469,0.000431461825155,2.25791435376e-05
webdlclient,500,140,20180323_022102_c76a,500,vagrant,900,10485760,4,176.145909309,176.144241512,1.0,176.144318104,176.14242053,0.00124745130519,0.0
webdlclient,2750,20,20180321_152910_e1a8,2750,vagrant,900,10485760,27,31.9567601681,31.9547070662,3.78994325302,31.9559824467,31.9472637177,0.00276232028614,0.000145237946317
webdlclient,3250,140,20180322_000430_d24d,3250,vagrant,900,10485760,31,27.5398919582,27.4929327196,4.04259975219,27.4874258041,27.479334116,0.0198602318337,0.001212836076
webdlclient,750,100,20180323_050754_4c5c,750,vagrant,900,10485760,6,117.344967127,117.317896525,1.60498932047,117.312585592,117.31214118,0.0121075238402,0.000173364543653
webdlclient,3250,40,20180321_224845_d657,3250,vagrant,900,10485760,32,27.0904488564,27.0835199133,4.06780529351,27.0833164454,27.082818985,0.00126609666266,7.85270512927e-05
webdlclient,3000,40,20180321_193142_ed62,3000,vagrant,900,10485760,29,29.3447849751,29.3374985333,3.93350426321,29.3372175694,29.336561203,0.0014326273526,8.20298238998e-05
webdlclient,1250,20,20180320_162859_b752,1250,vagrant,900,10485760,11,70.2935199738,70.2867683064,2.4656596266,70.2933356762,70.2738170624,0.00886696984721,0.000211947421118
webdlclient,2500,120,20180321_104039_dba9,2500,vagrant,900,10485760,24,35.4484460354,35.4472830395,3.61568170127,35.447658062,35.4377975464,0.00200873674284,9.52144853536e-05
