cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,sshc_cmd_count,sshc_max,sshc_mean,sshc_median,sshc_min,sshc_std,sshc_uniq_cmds
sshclient,2500,140,20180409_211505_2c4e,2500,vagrant,80,20,0.7426025867,0.4460687757,0.4455822706,0.2938127518,0.134393282,1
sshclient,2750,140,20180409_215558_b9aa,2750,vagrant,80,17,0.8191723824,0.4030605064,0.3275821209,0.2937955856,0.1469867372,1
sshclient,3000,140,20180409_221524_7f68,3000,vagrant,80,16,0.750980854,0.4272284955,0.3844031096,0.2940692902,0.1403295314,1
sshclient,3250,140,20180409_223449_2e3e,3250,vagrant,80,11,0.5196933746,0.3271812309,0.2942016125,0.2937586308,0.0688371623,1
sshclient,3500,140,20180409_225419_91db,3500,vagrant,80,20,0.6983709335,0.3701238394,0.3054480553,0.2938766479,0.1091354354,1
sshclient,3750,140,20180409_231349_3c04,3750,vagrant,80,18,0.535782814,0.3516207006,0.2990882397,0.2937390804,0.0774973227,1
sshclient,4000,140,20180409_233314_be4d,4000,vagrant,80,16,0.5454232693,0.3633606583,0.3172436953,0.2939863205,0.086303287,1
sshclient,4250,140,20180409_235238_c6cb,4250,vagrant,80,16,0.4780683517,0.3253981769,0.2940700054,0.2938456535,0.0632090771,1
sshclient,4500,140,20180410_001204_e638,4500,vagrant,80,23,0.4762637615,0.3373000829,0.2956473827,0.2896807194,0.0665776229,1
sshclient,4750,140,20180410_003129_8b1b,4750,vagrant,80,18,0.47833395,0.325226148,0.294085741,0.2938389778,0.0560725902,1
sshclient,5000,140,20180410_005053_8c73,5000,vagrant,80,16,0.5301179886,0.3384286314,0.3076212406,0.2937178612,0.0691718167,1
sshclient,250,160,20180409_213743_a160,250,vagrant,80,17,5.0217237473,3.0577656101,3.0495877266,0.5354850292,1.0947506182,1
sshclient,500,160,20180410_011215_686f,500,vagrant,80,16,2.6483800411,1.6426961422,2.0087171793,0.334094286,0.6944001297,1
sshclient,750,160,20180410_013158_2649,750,vagrant,80,18,1.6132071018,1.0515717268,1.1870105267,0.3340198994,0.3825915045,1
sshclient,1000,160,20180409_191916_eabd,1000,vagrant,80,24,1.649913311,0.9313326776,0.9467357397,0.3340654373,0.3080467274,1
sshclient,1250,160,20180409_193857_472c,1250,vagrant,80,12,1.303732872,0.8058553537,0.7584078312,0.4812934399,0.2703492879,1
sshclient,1500,160,20180409_195835_cd5c,1500,vagrant,80,15,1.2218534946,0.6900185426,0.7518062592,0.3339045048,0.2442559063,1
